,gamma,true_positives,false_positives,false_negatives,true_negatives,error
242,1.920585688262835e-07,1.0,0.9894285714285714,0.0,0.010571428571428572,0.3463
243,2.0394705616155463e-07,1.0,0.9891428571428571,0.0,0.010857142857142857,0.34619999999999995
244,2.165714446960518e-07,1.0,0.9885714285714285,0.0,0.011428571428571429,0.346
245,2.2997728695128174e-07,1.0,0.9885714285714285,0.0,0.011428571428571429,0.346
246,2.4421295516451986e-07,1.0,0.9877142857142858,0.0,0.012285714285714285,0.3457
247,2.593298158301253e-07,1.0,0.9871428571428571,0.0,0.012857142857142857,0.3455
248,2.753824150450202e-07,1.0,0.9865714285714285,0.0,0.013428571428571429,0.3453
249,2.924286753271132e-07,1.0,0.9865714285714285,0.0,0.013428571428571429,0.3453
250,3.1053010461684727e-07,1.0,0.986,0.0,0.014,0.34509999999999996
251,3.2975201821601067e-07,1.0,0.9857142857142858,0.0,0.014285714285714285,0.345
252,3.5016377446463186e-07,1.0,0.9848571428571429,0.0,0.015142857142857144,0.3447
253,3.7183902500635e-07,1.0,0.9845714285714285,0.0,0.015428571428571429,0.34459999999999996
254,3.9485598054529277e-07,1.0,0.9842857142857143,0.0,0.015714285714285715,0.3445
255,4.1929769305339076e-07,1.0,0.9837142857142858,0.0,0.016285714285714285,0.3443
256,4.452523554464152e-07,1.0,0.9834285714285714,0.0,0.01657142857142857,0.3442
257,4.728136198100593e-07,1.0,0.9834285714285714,0.0,0.01657142857142857,0.3442
258,5.020809353243169e-07,1.0,0.9828571428571429,0.0,0.017142857142857144,0.344
259,5.331599071054882e-07,1.0,0.9825714285714285,0.0,0.01742857142857143,0.3439
260,5.661626772606227e-07,1.0,0.982,0.0,0.018,0.34369999999999995
261,6.012083295293539e-07,1.0,0.9817142857142858,0.0,0.018285714285714287,0.3436
262,6.384233189731942e-07,1.0,0.9811428571428571,0.0,0.018857142857142857,0.3434
263,6.779419282627365e-07,1.0,0.9811428571428571,0.0,0.018857142857142857,0.3434
264,7.199067522091797e-07,1.0,0.9797142857142858,0.0,0.020285714285714285,0.3429
265,7.644692122885122e-07,1.0,0.9785714285714285,0.0,0.02142857142857143,0.34249999999999997
266,8.117901030149087e-07,1.0,0.9782857142857143,0.0,0.021714285714285714,0.3424
267,8.620401721348173e-07,1.0,0.978,0.0,0.022,0.3423
268,9.154007367352403e-07,1.0,0.9774285714285714,0.0,0.022571428571428572,0.34209999999999996
269,9.72064337489332e-07,1.0,0.9762857142857143,0.0,0.023714285714285716,0.3417
270,1.0322354333999932e-06,1.0,0.976,0.0,0.024,0.34159999999999996
271,1.0961311395483278e-06,1.0,0.9742857142857143,0.0,0.025714285714285714,0.34099999999999997
272,1.1639820105089638e-06,1.0,0.9731428571428572,0.0,0.026857142857142857,0.3406
273,1.2360328722590357e-06,1.0,0.9728571428571429,0.0,0.027142857142857142,0.34049999999999997
274,1.3125437055826013e-06,1.0,0.9728571428571429,0.0,0.027142857142857142,0.34049999999999997
275,1.3937905841580765e-06,1.0,0.9725714285714285,0.0,0.027428571428571427,0.3404
276,1.4800666707135844e-06,1.0,0.972,0.0,0.028,0.34019999999999995
277,1.5716832748446433e-06,1.0,0.9717142857142858,0.0,0.028285714285714286,0.3401
278,1.6689709763111082e-06,1.0,0.9705714285714285,0.0,0.02942857142857143,0.33969999999999995
279,1.7722808178665574e-06,1.0,0.97,0.0,0.03,0.33949999999999997
280,1.8819855719242013e-06,1.0,0.9697142857142858,0.0,0.030285714285714287,0.3394
281,1.99848108562982e-06,1.0,0.9691428571428572,0.0,0.030857142857142857,0.3392
282,2.1221877091951496e-06,1.0,0.9682857142857143,0.0,0.031714285714285716,0.3389
283,2.2535518126455645e-06,1.0,0.9674285714285714,0.0,0.03257142857142857,0.33859999999999996
284,2.3930473964549323e-06,1.0,0.9657142857142857,0.0,0.03428571428571429,0.33799999999999997
285,2.5411778018792835e-06,1.0,0.964,0.0,0.036,0.3374
286,2.698477527160687e-06,1.0,0.9634285714285714,0.0,0.036571428571428574,0.3372
287,2.865514156154734e-06,1.0,0.9631428571428572,0.0,0.03685714285714286,0.3371
288,3.0428904063406803e-06,1.0,0.9622857142857143,0.0,0.037714285714285714,0.3368
289,3.2312463036040806e-06,1.0,0.9611428571428572,0.0,0.038857142857142854,0.3364
290,3.431261491639167e-06,1.0,0.96,0.0,0.04,0.33599999999999997
291,3.643657684303981e-06,1.0,0.958,0.0,0.042,0.3353
292,3.869201269777076e-06,1.0,0.9568571428571429,0.0,0.04314285714285714,0.3349
293,4.108706075912363e-06,1.0,0.9554285714285714,0.0,0.044571428571428574,0.3344
294,4.36303630677031e-06,1.0,0.9531428571428572,0.0,0.046857142857142854,0.3336
295,4.6331096609213716e-06,1.0,0.9517142857142857,0.0,0.048285714285714286,0.3331
296,4.919900642773404e-06,1.0,0.95,0.0,0.05,0.33249999999999996
297,5.224444078871317e-06,1.0,0.9485714285714286,0.0,0.05142857142857143,0.332
298,5.547838851856805e-06,1.0,0.9477142857142857,0.0,0.05228571428571428,0.3317
299,5.8912518655613965e-06,1.0,0.946,0.0,0.054,0.33109999999999995
300,6.25592225554003e-06,1.0,0.944,0.0,0.056,0.33039999999999997
301,6.643165860238027e-06,1.0,0.9425714285714286,0.0,0.057428571428571426,0.32989999999999997
302,7.054379968924736e-06,1.0,0.9408571428571428,0.0,0.05914285714285714,0.3293
303,7.491048363525804e-06,1.0,0.9391428571428572,0.0,0.06085714285714286,0.3287
304,7.954746672546487e-06,1.0,0.9382857142857143,0.0,0.061714285714285715,0.32839999999999997
305,8.44714805640454e-06,1.0,0.938,0.0,0.062,0.3283
306,8.970029244687049e-06,1.0,0.9371428571428572,0.0,0.06285714285714286,0.328
307,9.525276947115412e-06,1.0,0.9362857142857143,0.0,0.06371428571428571,0.3277
308,1.0114894661351103e-05,1.0,0.9348571428571428,0.0,0.06514285714285714,0.3272
309,1.0741009902206828e-05,1.0,0.934,0.0,0.066,0.3269
310,1.140588187834816e-05,1.0,0.9337142857142857,0.0,0.06628571428571428,0.3268
311,1.2111909644185514e-05,1.0,0.9317142857142857,0.0,0.06828571428571428,0.3261
312,1.286164075637082e-05,1.0,0.9294285714285714,0.0,0.07057142857142858,0.3253
313,1.3657780466134167e-05,1.0,0.9282857142857143,0.0,0.07171428571428572,0.32489999999999997
314,1.4503201480629037e-05,1.0,0.926,0.0,0.074,0.3241
315,1.5400954328507947e-05,1.0,0.9245714285714286,0.0,0.07542857142857143,0.3236
316,1.6354278367130578e-05,1.0,0.9228571428571428,0.0,0.07714285714285714,0.32299999999999995
317,1.7366613471121643e-05,1.0,0.92,0.0,0.08,0.322
318,1.8441612444454216e-05,1.0,0.9177142857142857,0.0,0.08228571428571428,0.3212
319,1.9583154200845085e-05,1.0,0.9151428571428571,0.0,0.08485714285714285,0.3203
320,2.0795357760020766e-05,1.0,0.9114285714285715,0.0,0.08857142857142856,0.319
321,2.208259711035693e-05,1.0,0.9097142857142857,0.0,0.09028571428571429,0.31839999999999996
322,2.344951699152e-05,1.0,0.9091428571428571,0.0,0.09085714285714286,0.3182
323,2.490104965405934e-05,1.0,0.9065714285714286,0.0,0.09342857142857143,0.31729999999999997
324,2.644243265642361e-05,1.0,0.9045714285714286,0.0,0.09542857142857143,0.3166
325,2.8079227763618177e-05,1.0,0.9014285714285715,0.0,0.09857142857142857,0.3155
326,2.98173410156955e-05,1.0,0.8988571428571429,0.0,0.10114285714285715,0.3146
327,3.1663044038491554e-05,1.0,0.8962857142857142,0.0,0.10371428571428572,0.3137
328,3.3622996673503715e-05,1.0,0.8928571428571429,0.0,0.10714285714285714,0.3125
329,3.570427100856534e-05,1.0,0.8911428571428571,0.0,0.10885714285714286,0.31189999999999996
330,3.791437689602694e-05,1.0,0.8897142857142857,0.0,0.11028571428571429,0.31139999999999995
331,4.026128905052086e-05,1.0,0.8882857142857142,0.0,0.11171428571428571,0.31089999999999995
332,4.275347582408648e-05,1.0,0.886,0.0,0.114,0.3101
333,4.5399929762484854e-05,1.0,0.882,0.0,0.118,0.3087
334,4.8210200052959056e-05,1.0,0.8782857142857143,0.0,0.12171428571428572,0.3074
335,5.119442698052145e-05,1.0,0.8771428571428571,0.0,0.12285714285714286,0.307
336,5.436337851709616e-05,1.0,0.8748571428571429,0.0,0.12514285714285714,0.30619999999999997
337,5.772848917554131e-05,1.0,0.8725714285714286,0.0,0.12742857142857142,0.30539999999999995
338,6.130190126874773e-05,1.0,0.8688571428571429,0.0,0.13114285714285714,0.3041
339,6.50965087226892e-05,1.0,0.8651428571428571,0.0,0.13485714285714287,0.30279999999999996
340,6.912600360151466e-05,1.0,0.862,0.0,0.138,0.30169999999999997
